location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"wonewoc, wi",accident,2013-04-01,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,434012N,0901357W,no,wonewoc,wi
"guymon, ok",accident,2013-04-01,united states,fatal,airplane,mooney,m20e,1.0,reciprocating,2.0,0.0,0.0,0.0,364350N,1013619W,no,guymon,ok
"fort lauderdale, fl",accident,2013-04-01,united states,non-fatal,airplane,cessna,402c,2.0,reciprocating,0.0,0.0,0.0,0.0,261150N,0801014W,no,fort lauderdale,fl
"miami, fl",accident,2013-04-03,united states,fatal,helicopter,robinson,r44,1.0,reciprocating,2.0,0.0,0.0,0.0,253832N,0802317W,no,miami,fl
"caldwell, id",accident,2013-04-03,united states,non-fatal,airplane,aeronca,7ccm,1.0,reciprocating,0.0,0.0,0.0,0.0,433831N,0116389W,no,caldwell,id
"miami, fl",accident,2013-04-04,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,253631N,0803219W,no,miami,fl
"phoenix, az",accident,2013-04-04,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,334112N,0112530W,no,phoenix,az
"hammonton, nj",accident,2013-04-05,united states,non-fatal,airplane,cessna,414,2.0,reciprocating,0.0,0.0,1.0,0.0,039403N,0744528W,no,hammonton,nj
"meridian, ms",incident,2013-04-05,united states,non-fatal,airplane,embraer,emb-500,2.0,turbo fan,0.0,0.0,0.0,0.0,032194N,0884523W,no,meridian,ms
"las vegas, nv",accident,2013-04-05,united states,non-fatal,airplane,airbus,321,2.0,turbo fan,0.0,0.0,0.0,0.0,036480N,0115180W,no,las vegas,nv
"circle, mt",accident,2013-04-06,united states,fatal,airplane,cessna,182c,1.0,reciprocating,1.0,0.0,0.0,0.0,474419N,1055541W,no,circle,mt
"big bear city, ca",accident,2013-04-06,united states,non-fatal,airplane,beech,a36tc,1.0,reciprocating,0.0,1.0,3.0,1.0,341550N,1165122W,no,big bear city,ca
